id,name,acronym,description,studyIds,studies,variables,collectedDatasets,collectedVariables,harmonizedDatasets,dataschemaVariables,cohortCriteria,funding,website,typesOfCohorts,yearCreated,countries,setting,nbParticipants.total,nbParticipants.harmonized,socioEnvContext,region,dataEntryDate,age.min,age.max,methodology.analyses,methodology.moreCohortsToBeHarmonized,methodology.dataProcessingMethods,methodology.supplementaryInformation,methodology.access.metadata,methodology.access.individualData,methodology.software,methodology.infrastructure,methodology.harmonizationStrategy,methodology.nbHarmonizedVariables,methodology.harmonizationType,methodology.nbCohorts.total,healthTopic,healthTopicOther,methodology.nbCohorts.harmonized,informationStatus,socioEnvContextOther,methodology.softwareOther,methodology.analysesOther,methodology.dataProcessingMethodsOthers
agricoh,A consortium of agricultural cohort studies,AGRICOH,"The objective of AGRICOH is to support and mantain collaboration and data sharing/pooling to research the association between agricultural exposures and different health outcomes, with emphasis on associations that involve rare exposures and/or health outcomes, and for which data pooling represents a significant gain in statistical power compared to analysis of individual cohorts.",,29,0,0,0,0,0,All cohort study health outcomes in relation to environmental and occupational exposures in agricultural settings with the exception of three general population cohorts involving a large number of agricultural populations or oversampling individuals in agricultural areas.,Financed by the US National Cancer Institute and the International Agency for Research on Cancer.,https://agricoh.iarc.fr/,population_cohort,2010,AUS|CAN|CHL|CRI|DNK|FRA|NZL|NOR|KOR|ZAF|GBR|USA,international,1300000,316270,air_pollution|environmental_hazards,,2020-03-19,0,150,meta|pooled,TRUE,na,"Harmonization has been done for specific analyses. <br>

More information:  El-Zaemey S, Schinasi LH, Ferro G, et al Animal farming and the risk of lymphohaematopoietic cancers: a meta-analysis of three cohort studies within the AGRICOH consortium Occupational and Environmental Medicine 2019;76:827-837.",under_request,na,na,na,ex_post,NA,na,NA,environmental_health|occupational_health,NA,NA,NA,NA,NA,NA,NA
art-cc,Antiretroviral Therapy Cohort Collaboration,ART-CC,"Estimate prognosis of HIV-1 positive, treatment naïve patients initiating highly active antiretroviral therapy (ART)",,0,0,0,0,0,0,"Prospective cohort studies are eligible to participate if they have enrolled at least 100 HIV-1–positive patients aged 16 years or older who have not previously received antiretroviral treatment, who began ART with a combination of at least three antiretroviral drugs after 1996, and who have been followed for a median of at least 1 year after the initiation of ART.",Currently supported by the US National Institute on Alcohol Abuse and Alcoholism (NIAAA).,http://www.bristol.ac.uk/art-cc/research/,patient_cohort,2000,AUT|CAN|GRC|FRA|NLD|DEU|ESP|DNK|ITA|CHE|USA,international,200000,NA,NA,Western Europe and North America,2020-06-01,16,91,pooled,FALSE,na,"https://academic.oup.com/ije/article/43/3/691/757695 May, Margaret T., et al. ""Cohort profile: antiretroviral therapy cohort collaboration (ART-CC)."" International journal of epidemiology 43.3 (2014): 691-702.",under_request,no,stata|sas|na,central,ex_post,20,NA,20,ageing|cancer|respiratory_diseases|communicable_diseases|biomedicine|other,HIV and Addictive behaviours,20,NA,NA,NA,NA,NA
athlos,Ageing Trajectories of Health: Longitudinal Opportunities and Synergies,ATHLOS,"<p>The objective of the ATHLOS Project is to achieve a better understanding of ageing by identifying patterns of healthy ageing pathways or trajectories, the determinants of those patterns, the critical points in time when changes in trajectories are produced, and to propose timely clinical and public health interventions to optimize healthy ageing. Moreover, a new definition of 'old age' based on many characteristics rather than just the classical chronological definition of age will be used for calculating projections in each specific population and guide policy recommendations. To do so, the Consortium will create a harmonised dataset with over 400,000 individuals collated from existing longitudinal studies of ageing and including information on physical and mental health, biomarkers, life style habits, social environment and participation, among others.</p>

<p>ATHLOS is a five-year project funded by the European Union's Horizon 2020 Research and Innovation Programme under grant agreement number 635316.</p>

<p>The Consortium is coordinated by Dr Josep Maria Haro (Parc Sanitari Sant Joan de Déu) and consists of 14 partners from 11 European countries.</p>",,18,0,0,0,0,0,Each study includes one or more populations and provides data on health determinants and age-related events.,European Union’s Horizon 2020 research and innovation programme,http://athlosproject.eu/,population_cohort,2015,CUB|MEX|DOM|PRI|CHN|PER|IND|VEN|AUT|AUS|GRC|ESP|FIN|POL|GBR|RUS|LTU|CZE|USA|JPN|GHA|NLD|KOR|ZAF|DNK|HUN|SWE|CHE|IRL|EST|BEL|ISR|SVN|HRV|LUX|PRT|FRA|DEU|ITA,international,411000,411000,NA,NA,2020-03-20,18,120,pooled,TRUE,algorithmic|calibration|standardisation|latent_variable_model,"A platform of free software applications, developed by Maelstrom Research, is used to store the original datasets, guide the harmonization process and create a web portal for the studies from the ATHLOS Consortium, as well as the final harmonized databases.

The UBCoS study is the only study that harmonized data is kept in their institution.

The website with the repository of the ATHLOS harmonized datasets: https://athlos.pssjd.org

Github address with the Rmarkdown codes of harmonization: https://github.com/athlosproject/athlos-project.github.io",yes,under_request,obiba|r,central_and_multiple,ex_post,180,retrospective,18,ageing|general_epidemiology,NA,18,complete,NA,NA,NA,NA
b-cast,Breast CAncer Stratification (B-CAST): Understanding the determinants of risk and prognosis of molecular breast cancer subtypes,B-CAST,"In B-CAST the overall goal is to investigate the determinants of the development of specific breast cancer subtypes, and subsequent prognosis. Models and tools will be developed to allow identification of the individual risk of breast cancer, the subtype of cancer that is most likely to develop and the prognosis of that particular subtype. 
The specific project objectives are: 
* To define the influence of risk factors, including reproductive history, lifestyle, mammographic breast density and germline genetic variation, on breast cancer overall and by subtypes characterized by clinical and molecular markers.
* To define the influence of risk factors and tumour subtypes on clinical prognosis.
* To develop and validate breast cancer risk and prognostication models for breast cancer, overall and by subtypes, informed by knowledge acquired under above objectives
* To implement these models into online tools for risk prediction and prognostication; and make them available in multiple countries/languages.
* To raise awareness, i.e. promote the development and integration of personalized breast cancer prevention within national public health programmes..

",,0,0,0,0,0,0,"For B-CAST includes invasive breast cancer cases of studies participating in the Breast Cancer Association Consortium (BCAC). Studies that wish to participate in the DNA panel sequencing effort of B-CAST (~10,000 tumours) needed to have ethical approval that includes targeted DNA sequencing of germline and tumour DNA, and have core data available and genotyping data from iCOGS, OncoArray or GWAS.",This project has received funding from the European Union's Horizon 2020 research and innovation programme under grant agreement No 633784,http://www.b-cast.eu/,patient_cohort,NA,AUS|USA,international,100000,100000,na,"Europe, Asia",2020-06-01,NA,NA,meta|pooled,NA,NA,"This is an initiative departing from the Breast Cancer Association Consortium (BCAC), which is one of the members of the COGS consortium.",NA,NA,na,central_and_multiple,na,NA,NA,100,cancer|general_epidemiology,NA,100,NA,NA,NA,NA,NA
bbmri-nl,BBMRI-NL-Biobank,BBMRI-NL,"The projects mission is to maximize the use of biosamples, images and data for health research on the prevention, diagnosis and treatment of diseases. For this, these resources are available in a FAIR way: Findable, Accessible, Interoperable and Reusable. This is done in compliance with ethical, legal and privacy demands, and with active participation of donors, citizens and patients.",,21,0,0,0,0,0,"Cohorts with Genetic, epigenetic, transcriptome and metabolome data available.","This project has received funding from the NWO, Netherlands Organization for Scientific Research and from the European Union’s Horizon 2020 research and innovation programme under grant agreement No 676550.",https://www.bbmri.nl,population_cohort,2009,NLD,national,700,700,na,NA,2020-04-29,0,120,na,FALSE,na,NA,na,na,molgenis,multiple,ex_post,NA,NA,29,biomedicine|genetics|other_omics|medical_imaging,NA,NA,NA,NA,NA,NA,NA
bioshare-eu,Biobank Standardisation and Harmonisation for Research Excellence in the European Union,BioSHaRE-EU,"The objective of BioSHaRE-EU is to build upon tools and methods available to achieve solutions for researchers to use pooled data from different cohort and biobank studies. This, in order to obtain the very large sample sizes needed to investigate current questions in multifactorial diseases",,13,0,0,0,0,0,Large biobanks or study cohorts with no specific health context.,European Union,https://www.maelstrom-research.org/mica/network/bioshare- eu,population_cohort,2010,CAN|DEU|ITA|IRL|GBR|FIN|NLD|NOR,international,935227,NA,air_pollution|urbanization,NA,2020-11-11,18,NA,pooled|federated,FALSE,na,A variety of tools and methods are developed in BioSHaRE for retrospective and prospective harmonisation:  https://cordis.europa.eu/docs/results/261/261433/final1-final-publishable-summary---update-jan.pdf More information: https://dx.doi.org/10.1089%2Fbio.2015.0124,yes,no,obiba|datashield|r,multiple,ex_post,100,NA,15,environmental_health|chronic_diseases,NA,8,NA,NA,NA,NA,NA
canpath,Canadian Partnership for Tomorrow’s Health,CanPath,"The Canadian Partnership for Tomorrow’s Health (CanPath) is Canada’s largest
population health cohort and a national platform for health research. Comprised of more
than 330,000 volunteer participants, CanPath is a unique Canadian platform that allows
scientists to explore how genetics, environment, lifestyle, and behaviour interact and
contribute to the development of chronic disease and cancer. CanPath is hosted by the
University of Toronto’s Dalla Lana School of Public Health with national funding from the
Canadian Partnership Against Cancer.",,5,0,0,0,0,0,"Canadian regional cohorts that investigate environmental, lifestyle and genetic factors related to the development and progression of cancer and chronic diseases.",This project has received funding from the Canadian Partnership against Cancer.,https://canpath.ca/,population_cohort,2008,CAN,national,386641,328700,air_pollution|environmental_hazards|urbanization|work_related_stress|other,NA,2020-04-27,30,74,pooled,TRUE,algorithmic,More information: https://portal.canpath.ca/,under_request,under_request,obiba,central_and_multiple,prospective,2840,NA,7,ageing|mental_health|environmental_health|occupational_health|public_health|social_environment|cancer|cardiovascular_diseases|respiratory_diseases|neurological_diseases|musculoskeletal_diseases|chronic_diseases|non_communicable_diseases|communicable_diseases|general_epidemiology|genetics|genomics|other_omics|medical_imaging,NA,6,NA,Endocrine disruptors,NA,NA,NA
cnodes,CNODES: the Canadian Network for Observational Drug Effect Studies,CNODES,"Use collaborative, population-based approaches to obtain rapid answers to questions about drug safety and effectiveness.",,8,0,0,0,0,0,Administrative health data sources.,Funded by Health Canada and the CIHR.,https://www.cnodes.ca,population_cohort|patient_cohort,2011,CAN|USA|GBR,international,100000000,NA,NA,NA,2020-06-01,0,NA,meta|pooled,TRUE,na,"Suissa et al. CNODES: the Canadian Network for Observational Drug Effect Studies. Open Medicine 2012;6(4)e134
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3654509/",under_request,na,r|sas,multiple,ex_post,100,NA,9,biomedicine,NA,9,NA,NA,NA,NA,NA
cohorts_se,Swedish Cohort Consortium,COHORTS.SE,"The objective of COHORTS.SE is to coordinate all Swedish prospective population-based cohorts in a national infrastructure, thereby improving the reliability, quality and accessibility of valuable cohorts, for better-powered research with higher value to patients and populations.",,34,0,0,0,0,0,Swedish prospective population-based cohorts.,NA,http://cohorts.se/,population_cohort,2011,SWE,national,950000,950000,na,NA,2020-04-27,0,90,pooled|federated,TRUE,na,https://www.maelstrom-research.org/mica/network/cohorts.se,no,no,obiba|datashield|r|stata|sas,multiple,ex_ante,12,NA,40,general_epidemiology,NA,21,NA,NA,NA,NA,NA
cordelia,Collaborative cOhorts Reassembled Data to study mEchanisms and Longterm Incidence of chronic diseAses,CORDELIA,"The aim of CORDELIA is to generate a population database of more than 170,000 participants followed for more than 5 years, from Spanish cohorts with prospective follow-up.",,33,0,0,0,0,0,Spanish population-based cohort studies with information on common chronic disease risk factors and follow up for chronic diseases events.,This project is currently funded by Spanish CIBER research structure and is seeking other sources in competitive calls.,https://regicor.cat/en/collaborative-cohorts-reassembled-data-to-study-mechanisms-and-longterm-incidence-of-cardiovascular-diseases-el-estudio-cordelia/,population_cohort,2021,ESP,national,188000,188000,air_pollution|other,NA,2020-10-28,35,84,pooled,TRUE,algorithmic|standardisation|multiple_imputation,"The data harmonization is expected to be completed by end 2021Some cohorts may join CORDELIA in the future, and some may not successfully pass the quality or harmonization criteria. Therefore the number of participants and cohorts included in CORDELIA may vary from the current figures at the end of the inclusion process.",under_request,under_request,r,central,ex_post,85,NA,35,cardiovascular_diseases|chronic_diseases,NA,35,NA,Socio-economic status; quality of life,NA,NA,NA
